run,product_a_id,product_a_name,product_b_id,product_b_name,confidence
2026-08-17T16:10:16Z,155,Bose QuietComfort Ultra Wireless Headphones (2nd Gen) | Personalized Audio | Active Noise Cancelling | Up to 30 Hours Playback (Black),362,Neo N888 EARBUDS Bluetooth True Wireless (TWS) On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Blue,59.92
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",346,Neo HEDU SH12 Bluetooth Bluetooth Headphone On Ear 2 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) White,62.67
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",348,Neo BT 700 Bluetooth True Wireless (TWS) On Ear 5 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Assorted,56.0
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",349,Vertical9 Wireless Bluetooth Bluetooth Headphone Over Ear 6 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Multicolor,63.76
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",350,Neo P9 Bluetooth Bluetooth Headphone On Ear 2 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof),59.8
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",353,OLIVEOPS P9 Green Headphones Bluetooth Bluetooth Headphone On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Green,58.41
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",356,Neo P9 Bluetooth Bluetooth Headphone On Ear 2 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) White,63.81
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",357,OLIVEOPS P9 Black Headphones Bluetooth Bluetooth Headphone On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Black,59.29
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",358,Neo SH 12 On Ear Bluetooth Headphone 8 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Black,58.22
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",360,Neo P9 Bluetooth Bluetooth Headphone On Ear 2 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Green,58.1
